protocolo,cenario,arquivo,media,desvio,minimo,maximo,tempo_medio
RUDP,A,arquivo_100kb_bin,2.5682557818579266,0.11834810608485126,2.443274516611752,2.741234016580536,0.320090651512146
RUDP,A,arquivo_10mb_bin,2.449061460745937,0.1918705981540761,1.95043575446822,2.63999008712324,34.475748491287234
RUDP,A,arquivo_1mb_bin,2.717655492224979,0.03803455917602926,2.6241491679518,2.777538156331209,3.0877471685409548
RUDP,B,arquivo_100kb_bin,0.43182529014990534,0.10280041443362836,0.278909965946091,0.5637419752263092,2.0036112546920775
RUDP,B,arquivo_10mb_bin,0.40448404859857057,0.02057525229939557,0.3523144820337066,0.4302532278775985,207.92106232643127
RUDP,B,arquivo_1mb_bin,0.41892794253323007,0.03908906856240589,0.3568104495188811,0.4942065482033874,20.18001534938812
RUDP,C,arquivo_100kb_bin,0.1978508464110873,0.037883578723805864,0.1288559418527973,0.2445164611630777,4.3093485832214355
RUDP,C,arquivo_10mb_bin,0.20384025328341235,0.006445119572673467,0.188620665991827,0.2125303905851837,411.9196051597595
RUDP,C,arquivo_1mb_bin,0.20607919129539792,0.017573174945736392,0.1844330654875666,0.2468966856143023,40.96067914962769
TCP,A,arquivo_100kb_bin,18.732139739605078,0.7009271635200864,17.720480326081695,19.6672672723262,0.04385824203491205
TCP,A,arquivo_10mb_bin,93.7348322683635,22.657796516499545,30.927338664317052,107.2364042264462,1.022835659980774
TCP,A,arquivo_1mb_bin,82.0051057789496,9.812416555270016,56.396524481206725,90.36910074964176,0.10405812263488767
TCP,B,arquivo_100kb_bin,3.5061526833525187,1.050589671020902,0.6670761927007436,4.027068970996482,0.3178713321685791
TCP,B,arquivo_10mb_bin,60.02580676721743,19.925548512436475,20.659356321859857,78.98715099137257,1.6622403621673585
TCP,B,arquivo_1mb_bin,18.064934434432978,3.8995220030162563,9.101626184743576,20.12947684395525,0.49669642448425294
TCP,C,arquivo_100kb_bin,1.837061377642243,0.4611136668757361,0.5743812010344439,2.030688452375417,0.5181072950363159
TCP,C,arquivo_10mb_bin,48.81355077719299,9.71159723138448,22.635303445496543,54.9001233790945,1.8359981536865235
TCP,C,arquivo_1mb_bin,10.184339245452055,0.09027662570262472,10.001756087291485,10.321055938600262,0.8238653898239136
